eruptions	waiting
79.94889744	10.08504894
82.01428565	26.40504014
126.2733507	10.47768857
91.25302195	10.00300798
81.15995621	23.2583602
79.28134667	7.317949267
85.69554693	-1.178140233
82.58096505	4.203057586
82.54032433	9.399900065
90.63568294	9.093915185
96.91132625	14.50132455
78.63212544	12.57259788
80.93591529	-3.384212226
77.70162784	18.57764169
18.92384385	23.57892321
32.01291946	28.58416648
1.051260774	37.89463838
30.35147727	40.44987039
36.88203312	23.786946
10.57319721	37.9604683
24.32000708	69.2210304
47.52772083	40.54733256
14.33616062	24.33616062
28.96083203	37.86938991
39.87974697	36.49598411
-6.174025749	46.96944514
40.9612761	20.22533445
28.48057789	32.18325088
40.05933139	27.12464296
32.82828476	43.14112845
10.16293043	60.54188688
23.83894783	26.16205026
24.17615023	39.00654885
1.346954911	25.82377207
23.14114042	39.58979943
77.4299716	35.10458363
29.81716425	29.52534717
10.91534527	33.3901322
25.15895804	12.54508672
43.99658339	36.47118677
49.76673243	36.90003398
2.05547683	44.74035014
-1.33809054	35.52176924
34.43538639	49.51171682
24.09924866	40.43141798
30.58099818	35.26814952
39.23777232	54.78352602
34.61762096	30.0974799
13.95660578	17.08765853
14.65873166	19.64144929
56.63506323	39.21367336
24.71500989	12.81108289
17.36985307	23.83414912
40.00712066	42.31244556
-3.076412209	45.99017692
36.15675171	68.96523949
40.1817512	45.46141456
42.58030724	60.93714723
59.28872014	48.69589599
14.26927711	23.71035959
31.88810057	40
30.73954172	61.17770401
61.4241889	48.71803702
31.36245492	49.69437052
54.56894333	32.86147913
-5.442279443	51.1216774
-2.409288315	45.01888363
39.68275266	35.15516626
4.648265366	43.67390258
25.60934071	57.60997258
31.88333698	47.0287093
33.38185425	47.96714934
43.85306797	24.61460935
23.04877732	48.8971593
32.12590758	44.17232855
29.03172028	67.72790329
31.66149857	58.99101559
57.0328296	23.45786533
73.52762369	35.97615024
29.94451326	40.1373345
41.27347932	61.20233091
35.41340202	48.3359081
9.22443029	50.68678885
40.1602234	50.1602234
35.01260319	63.58244387
41.54989914	59.22226016
29.89503893	46.01321595
28.66794079	65.41720383
2.21062022	45.73063744
2.055977839	59.17610719
49.12572472	50.2151318
18.11485561	14.5122256
30.26512275	43.79143197
56.60267772	39.2405644
34.90038722	12.20852308
7.408829295	40
45.48090414	51.37113278
22.08597223	49.43157103
27.23666735	25.78388592
35.29074027	33.91369954
45.86080733	50.30049918
11.58328622	41.78023759
28.19020846	48.51439976
31.01995326	49.704207
36.28347768	54.11292193
29.39942316	33.13537535
41.99384952	36.36450192
65.14953016	29.17866393
29.19129884	51.56496538
-6.249364504	43.92805367
48.5468834	42.82648841
4.202310872	58.78257768
31.30929993	38.13012592
55.692072	55.81065746
28.91555224	38.2645208
34.68220381	39.16234886
21.93069172	34.19426204
70.11270342	48.38933669
10.98958484	45.70036447
4.575601956	30.17509359
28.38808648	33.98425686
26.42278716	25.65258294
54.34615111	44.1213007
23.31730635	39.9459677
12.45733487	44.65435485
2.671617512	50.17074671
54.40621413	36.17148113
2.452991357	34.98166885
21.09830654	35.50372454
29.98468278	39.9639149
62.6519562	44.28411476
28.45899021	37.53386883
26.33642112	66.06771827
9.49568664	56.94630704
8.287790547	41.69967595
16.72841871	34.51618108
56.72749096	35.67064326
-3.973769946	29.318343
30.51501102	37.93440362
30.69135742	36.44327439
8.095305219	37.17195607
6.477008507	38.79669008
37.33703804	28.70195219
26.7089695	40.81999306
42.33020289	37.2562213
47.08352264	48.02469655
14.54616115	37.23994104
30.35756286	19.51523743
4.913697247	23.85964344
22.75125733	21.11637974
42.96945948	65.45399743
5.206905868	32.57539851
24.40614431	32.01114614
2.250096888	55.26208093
49.7812882	41.91798723
12.46800087	44.73959012
32.64933888	40.74157804
21.45690178	17.74446826
77.28565332	42.48181087
7.217201712	53.5421133
7.845682168	38.24621008
28.45905642	36.84059746
39.80496189	57.68861949
20.2758898	11.75913339
28.09168588	18.18786979
54.9176227	38.91807673
65.70760461	39.55153015
52.64272722	52.91993614
21.64718378	41.39662543
21.40456864	40.62590903
13.75826385	37.50032571
47.96474407	22.03525593
1.069060695	23.35723733
40.45397612	17.58137586
36.62601816	38.67474104
1.502943704	22.11577885
53.28226168	37.04673078
8.154610609	44.88604356
23.75861934	47.70746324
34.08887661	10.90613117
39.39867673	56.27898563
21.194085	21.94519865
18.86414849	20.7121394
38.27947577	39.76818004
33.66125106	45.85922649
-10.25355959	41.96071338
28.95210127	37.64638091
18.25088491	19.64993573
26.91352333	25.47926893
23.68862602	32.20610222
14.6619159	61.11106165
36.72540665	24.15593483
35.9570088	33.14724527
29.59830381	63.01315943
14.1902421	50.46687297
27.35809125	45.41671567
24.3057151	32.44342871
74.77416794	43.67653711
19.77115871	57.02365069
4.741387079	36.98317097
44.74592358	18.94063863
33.38877742	12.40062275
23.73517133	12.86404574
55.59218201	51.37115979
46.36530524	34.63180797
-4.52696854	36.25938852
34.49467605	45.96463657
51.12282775	40
82.06909719	-46.85144434
79.79168682	-18.06574571
66.00645401	-31.6654161
59.43217552	-43.46513114
110.6524563	-32.35237876
73.27851151	-22.26781199
82.94798954	-25.28223055
47.2000456	-31.29108354
45.69396932	-22.44675034
38.82959163	-39.32858867
81.02791086	-24.17042784
88.81715875	-40.50788062
61.23349088	-50.84231989
80	-43.35439889
93.60973318	-13.78055159
87.12700245	-6.688625362
100.7268097	-29.9668386
102.6199066	-15.35435091
92.62288991	-46.75114069
94.7321306	-30.04560888
65.83223751	-24.79821618
92.81958466	-36.72781063
64.59174147	-27.80942185
75.15393865	-20.88588417
58.75957399	-21.197683
102.4193532	-48.09943664
80.25237594	-37.22710124
80	-53.58977465
80	-15.85612925
101.9201841	-17.39619791
74.27123262	-38.49324692
80.28844512	-46.52500977
56.65811872	-16.04785741
66.91385677	-56.83056973
73.77334377	-19.63710379
54.89264869	-23.45095086
90.38288977	-45.98824818
117.3101947	-20.43112534
58.71177144	-28.5795706
81.40949951	-50.15678202
75.2562465	-25.2562465
52.63024565	-29.58509427
83.99360145	-24.50327917
122.1424269	-33.8258508
73.86062856	-32.81324711
80.30592703	-12.47345207
118.7248186	-19.48552152
63.13860881	-12.53951829
79.69593671	-29.11693608
77.94731053	-44.6056445
50.55059331	-44.29945774
57.19395418	-17.76568379
82.3394585	-52.25846075
105.9937227	-32.00568782
97.31289359	-15.70819689
52.72422697	-33.69467327
87.22161345	-14.51319998
77.91648601	-41.81619503
106.5501872	-26.52296445
